"Розподіл населення регіонів України за рідною мовою - Регіон, Вказали у",,
"якості рідної мову, Рік , Зміст",,
,,
 , ,2001(05.12)
 , ,"Населення регіону, осіб"
 ,караїмську,-
 ,єврейську,299
 ,грецьку,11
 ,іншу мову,889
 ,не вказали мову,1185
Чернігівська область,,
 ,Всього,1236065
 ,українську,1100674
 ,російську,126830
 ,білоруську,2377
 ,болгарську,62
 ,вірменську,554
 ,гагаузьку,27
 ,кримськотатарську,5
 ,молдовську,305
 ,німецьку,20
 ,польську,36
 ,циганську,453
 ,румунську,48
 ,словацьку,5
 ,угорську,40
 ,караїмську,-
 ,єврейську,37
 ,грецьку,5
 ,іншу мову,878
 ,не вказали мову,3709
м. Київ,,
 ,Всього,2566953
 ,українську,1851994
 ,російську,648653
 ,білоруську,3040
 ,болгарську,389
 ,вірменську,1987
 ,гагаузьку,64
 ,кримськотатарську,8
 ,молдовську,654
 ,німецьку,136
 ,польську,497
 ,циганську,129
 ,румунську,98
 ,словацьку,28
 ,угорську,133
 ,караїмську,7
 ,єврейську,431
 ,грецьку,91
 ,іншу мову,9335
 ,не вказали мову,49279
м. Севастополь,,
 ,Всього,377153
 ,українську,25489
 ,російську,341538
 ,білоруську,660
 ,болгарську,58
 ,вірменську,397
 ,гагаузьку,21
 ,кримськотатарську,926
 ,молдовську,221
 ,німецьку,9
 ,польську,28
 ,циганську,1
 ,румунську,11
 ,словацьку,2
 ,угорську,6
 ,караїмську,2
 ,єврейську,13
 ,грецьку,12
 ,іншу мову,3294
 ,не вказали мову,4465
,,
 ,,
Пояснення умовних знакiв: ,,
тире (-) - явища не було ,,
"нуль (0.00) - явище відбулося, але у величинах менших, нiж тi, що ",,
можуть бути вираженi використаними цифровими розрядами,,
